#{"t_start": 1544977639.6219203, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,10,0.00584
0.0,45,0.006643
0.0,18,0.007024
0.0,29,0.007555
0.0,48,0.008394
0.0,54,0.009433
0.0,59,0.01029
0.0,72,0.011209
0.0,17,0.011455
0.0,50,0.01203
0.0,13,0.012212
0.0,42,0.012683
0.0,80,0.01349
0.0,31,0.01384
0.0,56,0.014426
0.0,10,0.014574
0.0,36,0.014971
0.0,36,0.01536
0.0,40,0.015791
0.0,45,0.016371
0.0,17,0.016649
0.0,29,0.017056
0.0,61,0.017843
0.0,9,0.018075
0.0,63,0.018836
0.0,5,0.018958
0.0,29,0.019327
0.0,34,0.019774
0.0,6,0.019901
0.0,60,0.02103
1.0,32,0.021672
0.0,8,0.021925
1.0,42,0.022662
0.0,34,0.023366
0.0,40,0.02418
0.0,49,0.025152
0.0,6,0.02543
0.0,8,0.025708
0.0,32,0.026433
0.0,14,0.026804
0.0,28,0.027531
1.0,21,0.02814
0.0,22,0.028679
0.0,29,0.029195
1.0,39,0.029838
0.0,17,0.030116
0.0,7,0.030255
0.0,21,0.030552
0.0,35,0.031003
0.0,27,0.031353
0.0,40,0.03248
0.0,19,0.03293
0.0,22,0.033223
0.0,32,0.0336
1.0,54,0.034185
0.0,29,0.034528
0.0,30,0.034878
1.0,53,0.035447
0.0,10,0.035599
0.0,21,0.03586
0.0,35,0.03625
0.0,5,0.036351
1.0,82,0.038463
0.0,48,0.039459
0.0,30,0.039919
1.0,46,0.040531
0.0,57,0.041181
0.0,59,0.041801
1.0,27,0.042121
0.0,5,0.042223
0.0,9,0.042363
0.0,20,0.042611
0.0,36,0.043007
0.0,20,0.043253
0.0,46,0.043746
0.0,31,0.044098
0.0,5,0.044199
0.0,68,0.044943
0.0,21,0.045199
0.0,8,0.04533
0.0,11,0.045492
1.0,27,0.045805
1.0,39,0.046232
0.0,49,0.046758
0.0,47,0.047335
0.0,33,0.047719
0.0,42,0.048177
0.0,29,0.048512
0.0,11,0.048674
0.0,26,0.048978
0.0,8,0.049106
1.0,55,0.04969
1.0,35,0.050078
0.0,13,0.050257
0.0,58,0.05087
0.0,60,0.05149
0.0,16,0.051693
0.0,45,0.052175
0.0,46,0.05266
0.0,33,0.053028
0.0,68,0.053955
0.0,37,0.054382
0.0,38,0.054807
0.0,19,0.055043
0.0,30,0.05539
0.0,17,0.055608
0.0,32,0.055971
0.0,50,0.056517
1.0,52,0.057079
0.0,15,0.057282
0.0,16,0.057492
0.0,5,0.057593
0.0,37,0.058008
0.0,64,0.058694
0.0,40,0.059135
0.0,19,0.059376
0.0,27,0.059697
1.0,27,0.060014
0.0,29,0.06035
0.0,29,0.060689
1.0,32,0.061057
0.0,49,0.061586
1.0,30,0.06193
1.0,39,0.062363
1.0,21,0.06262
0.0,7,0.062773
0.0,14,0.063046
0.0,44,0.063573
0.0,26,0.063885
0.0,8,0.064019
0.0,33,0.064395
0.0,39,0.064829
0.0,89,0.065743
1.0,31,0.066098
0.0,29,0.066437
0.0,19,0.066673
0.0,69,0.067393
0.0,29,0.067725
1.0,40,0.068165
0.0,88,0.069072
0.0,9,0.069211
0.0,25,0.069508
0.0,51,0.070081
1.0,71,0.070814
0.0,9,0.070954
0.0,37,0.07137
0.0,20,0.071619
0.0,37,0.072033
0.0,48,0.072553
0.0,57,0.07316
0.0,30,0.07351
0.0,10,0.073661
0.0,24,0.073946
0.0,62,0.074603
0.0,9,0.074743
0.0,49,0.075272
1.0,38,0.075687
0.0,35,0.076075
0.0,19,0.076312
0.0,40,0.076751
0.0,6,0.076861
0.0,30,0.077214
0.0,60,0.077847
0.0,57,0.07855
1.0,29,0.079034
0.0,46,0.079673
0.0,7,0.079801
0.0,12,0.079977
0.0,54,0.080561
0.0,29,0.0809
0.0,39,0.081335
0.0,17,0.081554
0.0,16,0.081766
1.0,57,0.082378
0.0,8,0.082513
0.0,40,0.082956
0.0,14,0.083147
0.0,37,0.083562
1.0,22,0.083831
0.0,25,0.084132
0.0,65,0.084813
0.0,38,0.085238
0.0,39,0.085677
0.0,22,0.08595
1.0,48,0.086495
1.0,36,0.086894
0.0,54,0.087471
1.0,22,0.08774
0.0,61,0.088392
0.0,21,0.088652
0.0,47,0.089166
0.0,8,0.089296
0.0,9,0.089436
0.0,21,0.089692
1.0,46,0.090195
0.0,17,0.090414
0.0,146,0.091885
0.0,20,0.092132
1.0,18,0.09236
0.0,40,0.092797
0.0,17,0.093014
0.0,5,0.093114
0.0,39,0.09355
0.0,51,0.094444
0.0,16,0.094711
0.0,30,0.095108
0.0,21,0.095379
0.0,15,0.09559
0.0,14,0.095788
0.0,22,0.096071
0.0,22,0.096343
0.0,43,0.096815
0.0,33,0.09719
0.0,33,0.097563
0.0,26,0.097868
0.0,24,0.098155
0.0,11,0.098314
0.0,29,0.098648
0.0,88,0.099552
0.0,9,0.099693
0.0,33,0.100065
0.0,12,0.100233
0.0,6,0.100343
0.0,22,0.10061
0.0,88,0.101509
0.0,11,0.101668
1.0,44,0.102152
1.0,40,0.104366
0.0,36,0.105839
0.0,8,0.105984
0.0,35,0.106391
0.0,107,0.10751
0.0,46,0.108022
0.0,9,0.108165
0.0,22,0.108437
0.0,8,0.108569
1.0,63,0.109255
0.0,75,0.11024
0.0,39,0.110695
0.0,9,0.110841
0.0,138,0.112244
0.0,52,0.112817
0.0,30,0.113169
0.0,8,0.113301
0.0,9,0.113444
0.0,7,0.113589
0.0,69,0.114319
0.0,24,0.114605
0.0,10,0.114756
0.0,23,0.115032
0.0,81,0.115877
0.0,21,0.116135
0.0,39,0.116573
0.0,29,0.116908
0.0,30,0.117252
0.0,8,0.117381
1.0,64,0.11805
0.0,13,0.118229
0.0,40,0.118675
0.0,34,0.119058
0.0,48,0.11958
0.0,12,0.119749
0.0,118,0.120956
0.0,30,0.121301
0.0,23,0.121578
0.0,13,0.121757
0.0,44,0.122233
0.0,9,0.122371
0.0,13,0.122551
1.0,18,0.122779
0.0,25,0.123094
0.0,36,0.123496
0.0,55,0.124079
1.0,28,0.124406
0.0,56,0.124996
0.0,27,0.125356
0.0,20,0.125609
0.0,27,0.125925
0.0,8,0.126054
1.0,42,0.126509
0.0,14,0.126698
0.0,58,0.127303
0.0,8,0.127432
0.0,28,0.127756
0.0,44,0.128232
0.0,46,0.12873
0.0,42,0.129187
0.0,32,0.129545
0.0,29,0.129879
0.0,5,0.129978
1.0,22,0.13024
0.0,67,0.13094
0.0,10,0.131089
0.0,40,0.131531
0.0,22,0.131791
0.0,6,0.131899
0.0,10,0.132046
0.0,45,0.132529
0.0,38,0.132951
0.0,81,0.133787
